id	strand	start coding	end coding	hgnc	ec	aktivita enzymu
uc002mem.1	+	6361585	6368721	CLPP	EC:3	hydrolase activity
uc002meo.2	+	6372831	6374984	ALKBH7	EC:1	oxidoreductase activity
uc002mgd.1	-	7117066	7293902	INSR	EC:2	transferase activity
uc002mgf.3	-	7152708	7293902	INSR	EC:2	transferase activity
uc002mit.3	+	7968829	7977316	MAP2K7	EC:2	transferase activity
uc010dvv.3	+	7975186	7977316	MAP2K7	EC:2	transferase activity
uc002mjg.3	+	8315960	8326993	CERS4	EC:2	transferase activity
uc002mji.3	+	8321143	8326993	CERS4	EC:2	transferase activity
uc002mjm.2	-	8376388	8386242	NDUFA7	EC:1	oxidoreductase activity
uc002mjv.3	+	8486724	8503430	MARCH2	EC:6	ligase activity
uc002mjw.3	+	8486724	8503430	MARCH2	EC:6	ligase activity
uc002mki.1	-	8645776	8657046	n/a	EC:3	hydrolase activity
uc002mkj.1	-	8645776	8670595	ADAMTS10	EC:3	hydrolase activity
uc002mkk.1	-	8649779	8661276	n/a	EC:3	hydrolase activity
uc002mmk.2	+	9946020	9958872	PIN1	EC:5	isomerase activity
uc002mml.2	+	9946020	9959875	PIN1	EC:5	isomerase activity
uc002mmr.4	+	10124113	10132425	RDH8	EC:1	oxidoreductase activity
uc002mnf.3	-	10244342	10252736	n/a	EC:2	transferase activity
uc002mng.3	-	10244342	10305575	DNMT1	EC:2	transferase activity
uc002mnh.3	-	10244342	10291107	n/a	EC:2	transferase activity
uc010xld.2	-	10244342	10305575	n/a	EC:2	transferase activity
uc002moc.4	-	10461509	10489082	TYK2	EC:2	transferase activity
uc010dxe.3	-	10461509	10477166	TYK2	EC:2	transferase activity
uc002mod.2	-	10468139	10489082	n/a	EC:2	transferase activity
uc002moj.2	+	10531440	10578297	PDE4A	EC:3	hydrolase activity
uc010xlg.2	+	10654766	10657795	n/a	EC:3	hydrolase activity
uc002mov.3	+	10654766	10663743	ATG4D	EC:3	hydrolase activity
uc010xlh.2	+	10655412	10663743	ATG4D	EC:3	hydrolase activity
uc010dxj.3	+	10662605	10663743	n/a	EC:3	hydrolase activity
uc002mpr.3	+	10812136	10823946	QTRT1	EC:2	transferase activity
uc002mpt.2	+	10828918	10941723	DNM2	EC:3	hydrolase activity
uc010dxl.2	+	10828918	10941723	DNM2	EC:3	hydrolase activity
uc002mpz.3	+	10982378	11032433	CARM1	EC:2	transferase activity
uc002mqe.2	+	11094827	11107056	n/a	EC:3	hydrolase activity
uc010dxo.3	+	11094827	11172492	n/a	EC:3	hydrolase activity
uc010dxp.3	+	11094827	11172492	SMARCA4	EC:3	hydrolase activity
uc002mqf.4	+	11094827	11172492	SMARCA4	EC:3	hydrolase activity
uc002mqg.1	+	11094827	11141647	SMARCA4	EC:3	hydrolase activity
uc002mre.2	+	11468349	11475055	n/a	EC:3	hydrolase activity
uc002mrg.1	+	11485419	11486692	SWSAP1	EC:3	hydrolase activity
uc010dyc.2	-	11618310	11629985	ECSIT	EC:1	oxidoreductase activity
uc002msb.3	-	11616998	11629985	ECSIT	EC:1	oxidoreductase activity
uc002msg.4	-	11685824	11688132	ACP5	EC:3	hydrolase activity
uc002msh.4	-	11685824	11688132	ACP5	EC:3	hydrolase activity
uc002msi.4	-	11685824	11688132	ACP5	EC:3	hydrolase activity
uc002msj.4	-	11685824	11688132	ACP5	EC:3	hydrolase activity
uc002mub.2	-	12757433	12777515	MAN2B1	EC:3	hydrolase activity
uc002mug.2	-	12786651	12791927	DHPS	EC:2	transferase activity
uc002muh.2	-	12786651	12792580	DHPS	EC:2	transferase activity
uc002muv.3	+	12848319	12858918	ASNA1	EC:3	hydrolase activity
uc002mvd.4	-	12907894	12912075	PRDX2	EC:1	oxidoreductase activity
uc002mvg.1	+	12917487	12924280	RNASEH2A	EC:3	hydrolase activity
uc002mvm.3	+	12949386	12985684	MAST1	EC:2	transferase activity
uc002mvn.1	-	12986803	12992189	DNASE2	EC:3	hydrolase activity
uc010xmr.1	-	12986803	12992189	n/a	EC:3	hydrolase activity
uc010xms.3	+	13002118	13008246	n/a	EC:1	oxidoreductase activity
uc002mvq.4	+	13002118	13010355	GCDH	EC:1	oxidoreductase activity
uc010xmu.3	+	13002704	13010355	n/a	EC:1	oxidoreductase activity
uc010xmt.3	+	13004425	13010355	n/a	EC:1	oxidoreductase activity
uc002mvs.2	-	13033561	13044510	FARSA	EC:6	ligase activity
uc010xmv.1	-	13033561	13044510	n/a	EC:6	ligase activity
uc002mwj.2	-	13215748	13227213	TRMT1	EC:2	transferase activity
uc002mwl.3	-	13215748	13227213	TRMT1	EC:2	transferase activity
uc010xmz.1	-	13216296	13223824	TRMT1	EC:2	transferase activity
uc002mxe.3	+	13875402	13883095	MRI1	EC:5	isomerase activity
uc002myc.3	-	14203923	14228359	PRKACA	EC:2	transferase activity
uc010xnm.1	-	14208070	14217634	n/a	EC:2	transferase activity
uc002myd.3	-	14208357	14217634	n/a	EC:2	transferase activity
uc010xnp.2	-	14519747	14524032	DDX39A	EC:3	hydrolase activity
uc002myo.3	-	14519747	14524032	DDX39A	EC:3	hydrolase activity
uc002myp.3	+	14544333	14582596	PKN1	EC:2	transferase activity
uc010xns.2	+	14675075	14676683	n/a	EC:1	oxidoreductase activity
uc002mza.3	+	14640508	14676683	TECR	EC:1	oxidoreductase activity
uc002mzc.3	+	14675075	14676683	n/a	EC:1	oxidoreductase activity
uc002mzb.3	+	14655932	14676683	n/a	EC:1	oxidoreductase activity
uc002mze.3	+	14675630	14676683	n/a	EC:1	oxidoreductase activity
uc002mzg.3	-	14676944	14682812	NDUFB7	EC:1	oxidoreductase activity
uc010dzv.2	+	15163062	15166900	CASP14	EC:3	hydrolase activity
uc002nam.3	-	15226062	15235870	ILVBL	EC:2	transferase activity
uc002nap.3	-	15338247	15343022	EPHX3	EC:3	hydrolase activity
uc002naq.3	-	15338247	15343022	EPHX3	EC:3	hydrolase activity
uc002nbf.4	-	15579473	15590182	PGLYRP2	EC:3	hydrolase activity
uc002nbh.4	+	15636147	15662282	CYP4F22	EC:1	oxidoreductase activity
uc010xoi.1	+	15726427	15729197	n/a	EC:1	oxidoreductase activity
uc002nbi.3	+	15726427	15740168	CYP4F8	EC:1	oxidoreductase activity
uc010xoj.2	+	15726542	15740168	n/a	EC:1	oxidoreductase activity
uc002nbj.3	+	15752225	15770195	CYP4F3	EC:1	oxidoreductase activity
uc010xom.2	+	15758056	15770195	CYP4F3	EC:1	oxidoreductase activity
uc010xon.2	+	15761052	15770195	n/a	EC:1	oxidoreductase activity
uc010xoo.2	+	15784339	15791494	n/a	EC:1	oxidoreductase activity
uc010xop.2	+	15784339	15791229	n/a	EC:1	oxidoreductase activity
uc002nbl.3	+	15784339	15807895	CYP4F12	EC:1	oxidoreductase activity
uc010xor.1	-	15881800	15885154	n/a	EC:1	oxidoreductase activity
uc002nbs.1	-	15989580	16008421	CYP4F2	EC:1	oxidoreductase activity
uc010xot.1	-	15989580	16003196	CYP4F2	EC:1	oxidoreductase activity
uc010xou.1	-	15996761	16003196	n/a	EC:1	oxidoreductase activity
uc010eab.1	-	16024686	16045218	n/a	EC:1	oxidoreductase activity
uc002nbu.2	-	16024541	16045218	CYP4F11	EC:1	oxidoreductase activity
uc002nbt.2	-	16024541	16045218	CYP4F11	EC:1	oxidoreductase activity
uc010eak.3	+	17212527	17323119	MYO9B	EC:3	hydrolase activity
uc002nfj.1	+	17212527	17321655	MYO9B	EC:3	hydrolase activity
uc002ngb.4	-	17403469	17412425	ABHD8	EC:3	hydrolase activity
uc002ngu.1	+	17581349	17615421	SLC27A1	EC:6	ligase activity
uc002ngw.3	+	17622481	17631890	PGLS	EC:3	hydrolase activity
uc002nhc.1	+	17666522	17692253	COLGALT1	EC:2	transferase activity
uc010eaz.2	+	17837354	17838980	MAP1S	EC:3	hydrolase activity
uc002nhe.1	+	17830311	17845237	MAP1S	EC:3	hydrolase activity
uc010xpv.1	+	17831199	17845237	n/a	EC:3	hydrolase activity
uc002nhl.1	+	17918616	17922931	B3GNT3	EC:2	transferase activity
uc010ebd.1	+	17918616	17922931	B3GNT3	EC:2	transferase activity
uc010ebe.1	+	17918616	17922931	B3GNT3	EC:2	transferase activity
uc002nhn.4	-	17937551	17955226	JAK3	EC:2	transferase activity
uc010xpx.1	-	17949197	17955226	n/a	EC:2	transferase activity
uc002nhz.4	+	18208602	18260536	MAST3	EC:2	transferase activity
uc002nia.2	+	18266689	18280104	PIK3R2	EC:2	transferase activity
uc002nic.1	+	18284651	18288721	IFI30	EC:1	oxidoreductase activity
uc002nig.4	-	18321738	18331932	n/a	EC:3	hydrolase activity
uc002nih.4	-	18321738	18331932	n/a	EC:3	hydrolase activity
uc010ebk.3	-	18321738	18333057	PDE4C	EC:3	hydrolase activity
uc002nif.4	-	18321738	18331227	PDE4C	EC:3	hydrolase activity
uc010ebl.3	-	18321738	18330151	PDE4C	EC:3	hydrolase activity
uc010xqc.2	-	18321738	18344001	PDE4C	EC:3	hydrolase activity
uc002nik.4	-	18321738	18344001	PDE4C	EC:3	hydrolase activity
uc002nil.4	-	18321738	18344001	PDE4C	EC:3	hydrolase activity
uc002nis.1	+	18451491	18474393	PGPEP1	EC:3	hydrolase activity
uc002nit.1	+	18468219	18474393	PGPEP1	EC:3	hydrolase activity
uc010xqg.1	+	18468219	18474393	PGPEP1	EC:3	hydrolase activity
uc002nja.2	-	18545722	18547813	ISYNA1	EC:5	isomerase activity
uc002njb.2	-	18545722	18547652	ISYNA1	EC:5	isomerase activity
uc002njc.2	-	18545722	18547652	ISYNA1	EC:5	isomerase activity
uc002njd.2	-	18545722	18548789	ISYNA1	EC:5	isomerase activity
uc010xqh.2	-	18545722	18547785	n/a	EC:5	isomerase activity
uc002njk.1	-	18642978	18652780	FKBP8	EC:5	isomerase activity
uc002nkg.3	+	18943018	18976972	UPF1	EC:3	hydrolase activity
uc002nki.1	-	18981385	19006881	CERS1	EC:2	transferase activity
uc002nkj.3	-	18989734	19006881	CERS1	EC:2	transferase activity
uc010ebx.3	-	18989734	19004339	CERS1	EC:2	transferase activity
uc002nkq.2	+	19030550	19039125	DDX49	EC:3	hydrolase activity
uc002nks.2	+	19032553	19039125	DDX49	EC:3	hydrolase activity
uc002nkt.1	+	19033041	19035512	n/a	EC:3	hydrolase activity
uc002nmr.3	-	19625414	19626236	TSSK6	EC:2	transferase activity
uc021uqu.1	+	19627047	19638935	NDUFA13	EC:1	oxidoreductase activity
uc002nmv.4	+	19649158	19656825	CILP2	EC:3	hydrolase activity
uc002nmw.4	+	19649158	19656825	CILP2	EC:3	hydrolase activity
uc002nnh.4	-	19756230	19774475	ATP13A1	EC:3	hydrolase activity
uc002nsd.2	-	29698454	29704025	UQCRFS1	EC:1	oxidoreductase activity
uc002nsf.2	+	30097225	30106287	POP4	EC:3	hydrolase activity
uc002nsn.3	+	30303462	30314684	CCNE1	EC:2	transferase activity
uc002nso.3	+	30303617	30314684	CCNE1	EC:2	transferase activity
uc002ntg.3	+	32899159	32973146	DPY19L3	EC:2	transferase activity
uc002nth.2	+	32899159	32973146	DPY19L3	EC:2	transferase activity
uc010edf.3	+	33182866	33202863	NUDT19	EC:3	hydrolase activity
uc002ntq.2	+	33210978	33312089	TDRD12	EC:3	hydrolase activity
uc002nur.4	-	33878249	34012666	PEPD	EC:3	hydrolase activity
uc002nus.4	+	34180167	34263968	CHST8	EC:2	transferase activity
uc002nut.4	+	34180167	34263968	CHST8	EC:2	transferase activity
uc002nuu.3	+	34180167	34263968	CHST8	EC:2	transferase activity
uc002nvf.3	+	34855814	34890941	GPI	EC:5	isomerase activity
uc002nvg.2	+	34856171	34890941	GPI	EC:5	isomerase activity
uc010xrw.2	+	34856171	34890941	n/a	EC:5	isomerase activity
uc002nvh.1	+	34856215	34858074	n/a	EC:5	isomerase activity
uc010xrx.1	+	34925795	34955034	UBA2	EC:6	ligase activity
uc002nvk.3	+	34919337	34960126	UBA2	EC:6	ligase activity
uc002nvl.3	+	34922831	34960126	UBA2	EC:6	ligase activity
uc002nxq.2	+	35533410	35557191	HPN	EC:3	hydrolase activity
uc002nxr.2	+	35533410	35557191	HPN	EC:3	hydrolase activity
uc010xsh.1	+	35541358	35556987	n/a	EC:3	hydrolase activity
uc002nxt.1	+	35551144	35556987	n/a	EC:3	hydrolase activity
uc002oaf.1	+	36024429	36036072	GAPDHS	EC:1	oxidoreductase activity
uc002oal.1	-	36041516	36054531	ATP4A	EC:3	hydrolase activity
uc002oav.3	+	36142145	36149549	COX6B1	EC:1	oxidoreductase activity
uc021usu.2	+	36208920	36214644	n/a	EC:2	transferase activity
uc021usv.1	+	36208920	36229458	n/a	EC:2	transferase activity
uc002obx.1	-	36290939	36304183	PRODH2	EC:1	oxidoreductase activity
uc002ocx.1	-	36500191	36501924	ALKBH6	EC:1	oxidoreductase activity
uc010eeo.1	-	36500191	36504299	ALKBH6	EC:1	oxidoreductase activity
uc002ode.3	-	36604656	36605758	POLR2I	EC:2	transferase activity
uc002odm.1	-	36641883	36643309	COX7A1	EC:1	oxidoreductase activity
uc002oix.1	-	39078449	39108535	MAP4K1	EC:2	transferase activity
uc002ojd.1	-	39221491	39234805	CAPN12	EC:3	hydrolase activity
uc002oji.3	-	39306252	39322412	ECH1	EC:5	isomerase activity
uc010xuk.1	-	39307988	39322412	n/a	EC:5	isomerase activity
uc010egi.2	-	39369794	39384459	SIRT2	EC:3	hydrolase activity
uc002ojt.2	-	39369794	39390161	SIRT2	EC:3	hydrolase activity
uc002oju.2	-	39369794	39384459	SIRT2	EC:3	hydrolase activity
uc002ojv.2	-	39369794	39390161	SIRT2	EC:3	hydrolase activity
uc002ojz.2	-	39406245	39412050	SARS2	EC:6	ligase activity
uc002oka.2	-	39406245	39421376	SARS2	EC:6	ligase activity
uc010xuq.1	-	39406245	39437173	n/a	EC:6	ligase activity
uc010xus.1	-	39412868	39421376	n/a	EC:6	ligase activity
uc002oki.3	+	39575909	39600758	n/a	EC:3	hydrolase activity
uc002okj.1	+	39660193	39669219	PAK4	EC:2	transferase activity
uc002okl.1	+	39660193	39669219	PAK4	EC:2	transferase activity
uc002okn.1	+	39660193	39669219	PAK4	EC:2	transferase activity
uc002omb.3	+	40093208	40097979	LGALS13	EC:3	hydrolase activity
uc002omh.3	-	40222019	40228592	CLC	EC:3	hydrolase activity
uc002omj.3	-	40316354	40322507	DYRK1B	EC:2	transferase activity
uc002omn.3	-	40325177	40336940	FBL	EC:2	transferase activity
uc002omm.1	-	40325303	40331078	FBL	EC:2	transferase activity
uc002omo.2	-	40325309	40336940	n/a	EC:2	transferase activity
uc010egr.3	-	40329662	40336940	FBL	EC:2	transferase activity
uc002omq.4	+	40477109	40487212	PSMC4	EC:3	hydrolase activity
uc002ona.3	+	40697938	40721199	MAP3K10	EC:2	transferase activity
uc002one.3	-	40739778	40748569	AKT2	EC:2	transferase activity
uc010egs.3	-	40739778	40771174	n/a	EC:2	transferase activity
uc002onf.3	-	40739778	40771174	AKT2	EC:2	transferase activity
uc010xvj.2	-	40739778	40761165	AKT2	EC:2	transferase activity
uc010egt.3	-	40739778	40761165	AKT2	EC:2	transferase activity
uc010egu.2	-	40740778	40761165	AKT2	EC:2	transferase activity
uc010xvk.1	-	40745723	40771174	n/a	EC:2	transferase activity
uc002onm.4	+	40872390	40884080	PLD3	EC:3	hydrolase activity
uc002onj.4	+	40872390	40884080	PLD3	EC:3	hydrolase activity
uc002onn.3	+	40872390	40884080	PLD3	EC:3	hydrolase activity
uc002onp.3	-	40885493	40895809	HIPK4	EC:2	transferase activity
uc002onw.2	-	40953795	40971595	BLVRB	EC:1	oxidoreductase activity
uc002oor.2	-	41197939	41220537	ADCK4	EC:2	transferase activity
uc002oot.3	+	41223040	41245465	ITPKC	EC:2	transferase activity
uc010ehd.3	+	41306477	41313769	EGLN2	EC:1	oxidoreductase activity
uc002opg.4	+	41306477	41313769	EGLN2	EC:1	oxidoreductase activity
uc002oph.3	+	41306477	41313769	EGLN2	EC:1	oxidoreductase activity
uc002opi.3	+	41306477	41313769	EGLN2	EC:1	oxidoreductase activity
uc002opl.4	-	41349700	41356331	CYP2A6	EC:1	oxidoreductase activity
uc002opm.3	-	41381597	41388115	CYP2A7	EC:1	oxidoreductase activity
uc002opn.3	-	41381597	41388115	n/a	EC:1	oxidoreductase activity
uc002opo.3	-	41381597	41533627	CYP2A7	EC:1	oxidoreductase activity
uc010ehg.1	+	41430177	41445277	n/a	EC:1	oxidoreductase activity
uc010ehh.1	+	41430177	41447428	n/a	EC:1	oxidoreductase activity
uc002opr.1	+	41497210	41522732	CYP2B6	EC:1	oxidoreductase activity
uc010xvu.1	+	41509854	41522732	n/a	EC:1	oxidoreductase activity
uc002opt.4	+	41594376	41601846	CYP2A13	EC:1	oxidoreductase activity
uc021uuv.1	+	41622519	41629161	n/a	EC:1	oxidoreductase activity
uc010xvv.1	+	41622093	41630680	n/a	EC:1	oxidoreductase activity
uc002opu.1	+	41622093	41633987	CYP2F1	EC:1	oxidoreductase activity
uc002opw.3	+	41699169	41712393	CYP2S1	EC:1	oxidoreductase activity
uc010ehi.1	+	41725297	41749620	AXL	EC:2	transferase activity
uc010ehj.3	+	41725297	41765809	AXL	EC:2	transferase activity
uc002oqm.4	+	41884214	41930513	n/a	EC:1	oxidoreductase activity
uc002oqo.3	-	41892537	41903233	EXOSC5	EC:3	hydrolase activity
uc002oqp.2	+	41916863	41928673	BCKDHA	EC:1	oxidoreductase activity
uc002oqr.3	+	41903732	41930513	n/a	EC:1	oxidoreductase activity
uc002oqq.3	+	41903732	41930513	BCKDHA	EC:1	oxidoreductase activity
uc010xvz.2	+	41903732	41930513	n/a	EC:1	oxidoreductase activity
uc002oqs.3	-	41931489	41932683	B3GNT8	EC:2	transferase activity
uc021uuy.1	-	41931489	41932683	B3GNT8	EC:2	transferase activity
uc010xwg.2	-	42471088	42492630	ATP1A3	EC:3	hydrolase activity
uc002osg.4	-	42471088	42498228	ATP1A3	EC:3	hydrolase activity
uc002ota.1	-	42734945	42744331	n/a	EC:2	transferase activity
uc002otb.1	-	42734945	42746617	GSK3A	EC:2	transferase activity
uc002otg.2	-	42801229	42806461	PAFAH1B3	EC:3	hydrolase activity
uc010xwi.1	-	42801229	42806461	PAFAH1B3	EC:3	hydrolase activity
uc010xwj.1	-	42801229	42806461	PAFAH1B3	EC:3	hydrolase activity
uc002otr.3	-	42905963	42931301	LIPE	EC:3	hydrolase activity
uc002owp.3	-	44011001	44031329	ETHE1	EC:1	oxidoreductase activity
uc010eiu.1	-	44012024	44031329	ETHE1	EC:1	oxidoreductase activity
uc002oxh.3	+	44222710	44224102	IRGC	EC:3	hydrolase activity
uc021uvh.1	+	44222710	44224102	IRGC	EC:3	hydrolase activity
uc002ozs.3	+	45281188	45303700	CBLC	EC:6	ligase activity
uc002pbb.2	+	45754846	45805968	MARK4	EC:2	transferase activity
uc002pbc.1	+	45767988	45791111	n/a	EC:2	transferase activity
uc002pbd.4	-	45810007	45822971	CKM	EC:2	transferase activity
uc002pbh.2	-	45854886	45860797	n/a	EC:3	hydrolase activity
uc002pbi.2	-	45854886	45865097	n/a	EC:3	hydrolase activity
uc002pbj.2	-	45854886	45873798	ERCC2	EC:3	hydrolase activity
uc010ejz.2	-	45854886	45873798	n/a	EC:3	hydrolase activity
uc002pbk.2	-	45855466	45873423	ERCC2	EC:3	hydrolase activity
uc002pbq.1	+	45909954	45912759	CD3EAP	EC:2	transferase activity
uc002pbs.2	-	45912932	45926632	ERCC1	EC:3	hydrolase activity
uc002pce.3	+	46001730	46005343	PPM1N	EC:3	hydrolase activity
